id	reference_destination	reference_template	html_element	js_handler	js_api_operation	python_route	python_backend_operation	java_destination	java_control	java_handler	java_facade	db_index_operation	expected_visible_result	test	status	note
AR1	Archives	archives (section grid)	section tile data-section	navigateToSection	GET /api/archives/{files,categories,keywords,titles,sources,sides}	archives.*	per-section counts	Archives	section tree	ArchivesScreen#build	AnalyticsFacade#archiveTree	CorpusDatabase#selectAllPathsForTree	Tree of sources / aspects / categories / keywords with counts	DestinationCoverageTest	VERIFIED	
AR2	Archives	archives (item view)	item card data-item-id	navigateToItem	GET /api/archives/<section>/<id>/files	archives.item_files	paths JOIN words_paths JOIN words_categorys / JOIN keywords_paths	Keyword / Category / Word Detail	Related Files table	TermDetailScreen#onShow	RelationshipFacade#filesForCategory	CorpusDatabase#selectFilesForCategory	Files reached through the term	RelationshipModelTest#categoryBidirectional	VERIFIED	
AR3	Archives	archives (file view)	file card details / open / export / checkbox	file-view handlers	GET /file/<id>, /api/archives/files/export	files.file_detail, archives.export	(render)	File Library	view / content / toggle buttons, Export via engine	FileLibraryScreen#build	ContentFacade#getPaths	CorpusDatabase#selectPaths	Paged registry with actions; double-click opens File Detail	UiParityTest	VERIFIED	
AR4	Archives	archives (section params)	limit, search, category_id, source_id, side_id, date_from, date_to, sort_by, sort_dir, cursor	section-view	GET /api/archives/files?...	archives.files	filtered SELECT	Search	filters	SearchScreen#runSearch	SearchFacade#search	LiveCase#searchNow	Filtered results	EndToEndScenarioTest	ADAPTED	Filtering by source, aspect, date and sort is done on Search over the index rather than on a paged archive grid.
SR1	Sources	Sources/sources_list.html	Add / Edit modal #sourceForm, importance slider, city, country, category	openSourceModal, submitSourceForm	POST/PUT /api/sources	sources.*	INSERT/UPDATE sources	Sources	Add Source, Edit	SourceForm#showEdit	SourceFacade#createSource	CorpusDatabase#insertSource	New or updated row; duplicate name refused	DestinationCoverageTest#editSource	VERIFIED	
SR2	Sources	Sources/sources_list.html	duplicateSource	duplicateSource	POST /api/sources/<id>/duplicate	sources.duplicate	INSERT copy	Sources	duplicate button	SourcesScreen#build	SourceFacade#duplicateSource	CorpusDatabase#insertSource	Copy appears with a suffixed name	FacadeParityTest	VERIFIED	
SR3	Sources	Sources/sources_list.html	toggleSourceStatus	toggleSourceStatus	POST /api/sources/<id>/toggle-status	sources.toggle_status	UPDATE sources.access_status	Sources	(none)	(none)	(none)	(none)	Not offered	UiParityTest	UNSUPPORTED	The reference flag is never read anywhere else in the application; storing a status no view consults would be decoration.
SR4	Sources	Sources/sources_list.html	deleteSource, bulkExport, viewSource, viewSourceCategoriesKeywords	same	DELETE /api/sources/<id>, GET /api/sources/<id>/export, /sources/<id>, /sources/<id>/categories-keywords	sources.*	sources, path JOIN path_category	Sources / Source Detail / Source Relationships	delete, row double-click, Categories & Keywords	SourceDetailScreen#build	AnalyticsFacade#categoriesForSource	CorpusDatabase#selectCategoriesForSource	Detail with real statistics; relationships scoped to the source	DestinationCoverageTest#sourceStatistics	VERIFIED	
SR5	Sources / Sides	Sources/source_categories_keywords.html, Side/side_categories_keywords.html	category and keyword tables, row links	viewCategory, viewKeyword	GET /api/sources/<id>/categories-keywords, /api/sides/<id>/categories-keywords	sources.*, sides.*	path JOIN path_category / path_keyword	Source Relationships / Aspect Relationships	category row click, keyword row click	RelationshipsScreen#build	AnalyticsFacade#categoriesForSource, AnalyticsFacade#keywordsForSource, AnalyticsFacade#categoriesForAspect, AnalyticsFacade#keywordsForAspect	CorpusDatabase#selectCategoriesForSource	Categories and keywords found in files of this source/aspect with file counts; click opens the term detail	DestinationCoverageTest#sourceStatistics	VERIFIED	
SD1	Sides / Aspects	Side/sides_list.html, side_detail.html, side_categories_keywords.html	same as Sources	same as Sources	/api/sides/*	sides.*	sides	Aspects / Aspect Detail / Aspect Relationships	Add Aspect, Edit, Delete, duplicate, Categories & Keywords	AspectDetailScreen#build	AnalyticsFacade#aspectStatistics	CorpusDatabase#selectAspectStatistics	Same shape as Sources, scoped to the aspect	DestinationCoverageTest#aspectStatistics	VERIFIED	
FL1	Files	file/files_list.html	#smartSearch, filters, sort, perPageFiles, quickPreview, bulkAnalyze, bulkExport, bulkDelete	same	GET /files?...	files.files_list	paths filtered	File Library	Refresh, view / content / toggle, Previous, Next	FileLibraryScreen#build	ContentFacade#getPaths	CorpusDatabase#selectPaths	Paged registry; preview; read toggle	UiParityTest	ADAPTED	Bulk analyse lives on Batch Analysis; bulk delete is not offered (F11); filtering by type/source/aspect/status is on Search.
UP1	Upload	file/upload.html	#fileInput #folderInput #sourceSelect #sideSelect #processBtn, log	handleFileSelection, handleFolderSelection, startProcessing, addLog	POST /upload/process-path	upload.process_path	pipeline	Upload	Choose Files, Choose Folder, Start Processing, Pause, Cancel	UploadScreen#build	FileProcessingFacade#processFolder	IngestPipeline#ingest	Live log and progress; items registered under the chosen source and aspect	DragDropIngestTest	VERIFIED	
BA1	Batch analysis	Analysis/analysis_batch.html	templates, priority, error handling, filters, Start, Stop, Retry	applyTemplate, startAnalysis, stopAnalysis, retryFile	POST /analysis/batch/process, /api/analysis/retry/<id>	analysis.batch_process	keyword scan / classify over contents	Batch Analysis	Start Analysis, Stop, Re-run, Delete Run	BatchAnalysisScreen#build	BatchAnalysisFacade#run	CorpusDatabase#linkPathToKeyword	Progress per file; results persisted as runs	BatchAnalysisTest#hitsComeFromRealAnalysis	VERIFIED	
BA2	Batch analysis	Analysis/analysis_batch.html	#scheduleSelect, off-hours, #resourceLimit	(none)	(none)	(none)	(none)	Batch Analysis	(none)	(none)	(none)	(none)	Not offered	BatchAnalysisTest#distinctFromProcessing	REFERENCE-INERT	Schedule and resource controls in the reference are never read by the server (COVERAGE_MATRIX R01).
DB1	Dashboard	Analysis/dashboard.html	summary tiles, file types, categories, timeline, word frequency, storage	loadAllStatistics et al.	GET /api/analytics/*	analytics.*	aggregate SELECTs	Dashboard	stat cards, charts	DashboardScreen#onShow	DashboardFacade#getStats	CorpusDatabase#countPathsAll	Counts computed from the case at each show	DestinationCoverageTest#reviewProgress	VERIFIED	
DB2	Charts dashboard	Analysis/charts_dashboard.html	filters, doughnut/bar charts, section tables	applyFilters, renderDoughnutChart	GET /api/analytics/file-type-distribution ...	analytics.*	aggregate SELECTs	Charts	Refresh; chart segment click	ChartsDashboardScreen#build	DashboardFacade#getFileTypeBreakdown	CorpusDatabase#countTypesForSource	Canvas charts; clicking a segment opens Search or a Source	DestinationCoverageTest#reviewProgress	ADAPTED	Drawn on a JavaFX canvas by ChartPane instead of a browser charting library.
DB3	Comprehensive dashboard	Analysis/comprehensive_dashboard.html	source/aspect/category/type filters, tabs	applyFilters, initializeTabNavigation	GET /api/analytics/dashboard-summary	analytics.dashboard_summary	filtered counts	Comprehensive Dashboard	Apply Filters, Clear	ComprehensiveDashboardScreen#build	AnalyticsFacade#filteredCounts	CorpusDatabase#countPaths	Every tile narrows consistently	DestinationCoverageTest#combinedFilters	VERIFIED	
DB4	Path analysis	Analysis/path_analysis.html	tree, expand/collapse, filters, classification modal	createPathNode, expandAll, handleFilterChange	GET /api/analytics/path/*	analytics.path_*	paths grouped by folder	Path Analysis	Expand All, Collapse All, Refresh, node double-click	PathAnalysisScreen#build	AnalyticsFacade#directoryTree	CorpusDatabase#selectAllPathsForTree	Folder tree with rolled-up totals; a file node opens File Detail	DestinationCoverageTest#directoryTree	VERIFIED	
DB5	File classification	Analysis/file_classification.html	method selector, analyse file / folder / database	analyzeFile, analyzeFolder, analyzeDatabase	GET /api/analytics/path/classifications	analytics.path_classifications	words_paths JOIN words_categorys	Analysis	source / aspect / category / type distributions, similar files	AnalysisScreen#build	DashboardFacade#getCategoriesFiltered	CorpusDatabase#selectCategoriesForPath	Distributions over real relations	DestinationCoverageTest	ADAPTED	The three reference modes collapse into one destination that reads the same relations.
DB6	Email words	email_words/email_words.html	search, per page, copy, add to contacts, show files, export	searchInFiles, showEmailFiles, addToContacts	GET /api/email-words/*, POST /contacts/add	email_words.*	LIKE on words	Email Words	Refresh; address row	EmailWordsScreen#build	SearchFacade#search	LiveCase#searchNow	Addresses found in indexed text with the files carrying them	UiParityTest	LIMITED	Add-to-contacts has no contacts store in this application; copy and file listing are provided.
DB7	Concurrency	concurrency/dashboard.html	metrics, pools, threads, processes, async tasks	updateMetrics et al.	GET /concurrency/api/*	concurrency.*	runtime introspection	Processing Monitor	Pause, Cancel, Refresh	ProcessingMonitorScreen#build	LiveCase#ingestRunning	LiveCase#statusCounts	Live worker and queue state during a real ingest	PipelineAcceptanceTest	VERIFIED	
DB8	Performance	(performance/*)	CPU / memory / disk meters, timed query	(static markup)	(none)	(none)	(none)	Performance	Run Timed Query, Refresh	PerformanceScreen#build	HostMetrics#read	LiveCase#indexedCount	Real OS counters or an explicit 'unavailable'; measured query time	HostMetricsTest#cpuIsMeasuredOrDeclaredMissing	VERIFIED	
DB9	Errors	(/api/errors/*)	error table, retry	retry	POST /api/analysis/retry/<id>	analysis.retry	re-run	Error Dashboard	Refresh, Retry	ErrorDashboardScreen#build	AnalyticsFacade#errorReport	CorpusDatabase#selectPaths	Failures by type with causes; retry re-processes	DestinationCoverageTest#errorReport	VERIFIED	
NT1	Notifications	Notifications/notifications.html	tabs all/duplicates/future, search, side filter, scan, mark read, dismiss, detail modal	initializeNotificationsPage	GET /api/notifications/paginated, POST .../read, .../dismiss, /api/notifications/scan	notifications.*	alerts table	Notifications	Refresh, mark read, dismiss, row detail	NotificationsScreen#build	NotificationFacade#getNotifications	CorpusDatabase#insertAlert	Rows by tab; read/dismiss persist	FacadeParityTest	VERIFIED	
IE1	Import / Export	ImportExport/import_export.html	export settings, export backup (include data), import settings, import backup, batch import paths / CSV	exportSettings, exportDatabaseBackup, importSettings, importDatabaseBackup, handleBatchImport	/api/settings/export|import, /api/import-export/backup/*, /api/import-export/batch-import[/csv]	import_export.*	settings JSON, table dump, INSERT paths	Import / Export	Export File Registry, Export Keywords, Export Settings, Export Database Backup, Validate Backup, Import Settings, Import File List (CSV)	ImportExportScreen#build	ImportFacade#importDatabaseBackup	ExportFacade#exportDatabaseBackup	Files written / read; results summarised	SettingsPersistenceTest	VERIFIED	
ST1	Settings	Settings/settings.html	branding, theme colours, toggles (autoProcess, autoAnalyze, animations, breadcrumbs, logging), language	(form)	POST /api/settings	settings.*	settings JSON	Settings	OCR, deduplication scope, passwords and other engine options	SettingsScreen#build	CaseSettings#saveTo	CaseFolder#database	Choices persist across restart	SettingsPersistenceTest#optionsSurviveRestart	ADAPTED	Engine options that change behaviour are exposed; branding and colour theming are presentation-only and deferred to the localisation/theming phase (LOCALIZATION_PREPARATION.md).
ST2	Settings	Settings/settings.html	/set_language/<lang>	(link)	GET /set_language/<lang>	settings.set_language	session flag	(none)	(none)	(none)	(none)	(none)	Not offered yet	SettingsPersistenceTest#optionsSurviveRestart	LIMITED	Deliberately deferred: localisation begins after the English interface is stable. Preparation is documented in LOCALIZATION_PREPARATION.md.
SU1	Setup	Setup/database_setup.html	schema status, verify, rebuild	(server-rendered)	GET /setup	setup.*	schema introspection	Setup	Verify Integrity, Rebuild Search Index, Refresh	SetupScreen#build	LiveCase#rebuildIndex	LiveCase#verifyIntegrity	Integrity report; index rebuilt from case.db with the same searchable state	ResilienceTest#damagedIndexIsRebuilt	VERIFIED	
AI1	Assistant	(none in reference)	(none)	(none)	(none)	(none)	(none)	Assistant	Ask, Cancel	AgentScreen#build	AgentService#ask	CaseTools	Answer with tool activity and evidence identifiers; nothing loaded until asked	AiAgentTest#readOnlyByDefault	VERIFIED	
AI2	Analyze buttons	(none in reference)	(none)	(none)	(none)	(none)	(none)	Sources, Aspects, Keywords, Categories, File Detail, Search	Analyze ...	AnalyzeAction#button	AgentService#ask	CaseTools	Screen context reaches the tools without pasting ids	AiAgentTest	VERIFIED	
AI9	Assistant	(none in reference)	(none)	(none)	(none)	(none)	(none)	Assistant	answer pane, trace pane	AgentScreen#build	AgentOrchestrator#systemPrompt	(none)	Every statement of an answer prefixed [OBSERVED]/[DERIVED]/[INFERRED]/[USER-PROVIDED]/[UNKNOWN]; trace shows counts per label	AiAgentTest#provenanceLabels	VERIFIED	
G01	Shell	base.html	sidebar nav links, breadcrumb, back	(links)	(each page route)	(each)	(none)	FasApp	navigation rail, Back	FasApp#navigate	FasApp#register	(none)	Every destination reachable; back returns along history	ArchitectureInvariantsTest#everyScreenIsReachableFromTheNavigation	VERIFIED	
G02	Shell	404.html, 500.html	error pages	(none)	(any)	(error handlers)	(none)	(inline)	empty states and dialogs	Fas#emptyState	FacadeException#internal	(none)	Failures surface where they happen	ResilienceTest	UNSUPPORTED	HTTP error pages have no desktop equivalent (COVERAGE_MATRIX R06).
G03	Shell	components/page_tips.html, unified_pagination.html, cursor_pagination.html	partials	(none)	(none)	(none)	(none)	Fas	card, pageHeader, Previous/Next	Fas#pageHeader	(none)	(none)	Reusable pieces, not destinations	UiParityTest#stylesheetPresent	UNSUPPORTED	Template partials are not destinations (COVERAGE_MATRIX R08).
G04	Shell	(any)	toast notifications	showToast	(none)	(none)	(none)	(any)	Alert / inline label	Fas#saveBytes	(none)	(none)	Immediate feedback on every action	ArchitectureInvariantsTest#everyControlEndsInAnOperation	ADAPTED	Dialogs and inline labels instead of toasts.
DB3a	Comprehensive dashboard	Analysis/comprehensive_dashboard.html	(no reference equivalent)	-	-	-	-	Comprehensive Dashboard	Rebuild Statistics	ComprehensiveDashboardScreen#rebuildStatistics	DashboardFacade#rebuildStatistics	DashboardStats#rebuild	Derived counters reconstructed from case.db, then verified; summary states the outcome	DashboardStatsTest#rebuildIsDeterministic	ADAPTED	New control with no reference counterpart. The reference recomputes dashboard figures by scanning on every request, so it needs no repair action; this application maintains derived counters (docs/DATABASE_PERFORMANCE_REPORT.md section 5) and therefore must expose a deterministic rebuild for counters left stale by a restored backup or an interrupted migration.
DB3b	Comprehensive dashboard	Analysis/comprehensive_dashboard.html	keyword occurrence table	loadKeywordStats	GET /api/analytics/keyword-usage	analytics.keyword_usage	distinct files per keyword	Comprehensive Dashboard	Keywords panel	ComprehensiveDashboardScreen#gather	AnalyticsFacade#keywordUsage	CorpusDatabase#selectKeywordUsage	Each keyword listed with its case-wide count of distinct files	RelationshipCountsTest#keywordUsageMatchesPerKeywordCount	VERIFIED	Counts are COUNT(DISTINCT path_id) and global to the case, per directive section 15. Previously computed by one query per keyword plus one per file on the FX thread.
